Specialisation,Count
Spec Work & Organ. Psychology,208
Spec Social Psychology,192
Track Sport & Performance Psy,92
General Psychology,81
Track Behaviour & Health,67
Track Training and Development,64
Spec Brain & Cognition,46
Track Clinical Forensic Psych,31
Spec Clinical Psychology,23
Inactief T&D,19
Work & Organisational Psych,17
Psycho. Gedragsbeïnvloeding,16
Spec Clinical Developmental Ps,13
Spec Psychological Methods,13
Track Training & Development,9
"Spec W&O, route WHP",7
Spec Developmental Psychology,6
Training & Development,4
Spec Clinical Neuropsychology,4
Brain and Cognition,3
"Spec B&C, route Cogn Neurosc",1
